,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,chainbreaker runtime,copkmeans runtime,kmeans runtime
0,0.13,5,0.04,0.04,1000000000,0.04543171600380447,0.0019335499964654446,0.03231536099337973
0,0.13,5,0.04,0.04,1000000000,0.05639226399944164,0.0022075360029703006,0.01948892799555324
0,0.13,5,0.04,0.04,1000000000,0.05594108998775482,0.002171479005482979,0.019081873004324734
0,0.13,5,0.04,0.04,1000000000,0.05454556399490684,0.0021625869994750246,0.01978069699543994
0,0.13,5,0.04,0.04,1000000000,0.05637376300001051,0.0021765120036434382,0.01950994599610567
0,0.13,5,0.04,0.04,1000000000,0.05532595900876913,0.002159071998903528,0.01909663900732994
0,0.13,5,0.04,0.04,1000000000,0.054641442009597085,0.003440323009272106,0.027478156000142917
0,0.13,5,0.04,0.04,1000000000,0.05402218399103731,0.0020857159979641438,0.01935950700135436
0,0.13,5,0.04,0.04,1000000000,0.05523207600344904,0.002143998004612513,0.01959992699266877
0,0.13,5,0.04,0.04,1000000000,0.05500485800439492,0.0021613720018649474,0.019606741014285944
0,0.13,5,0.04,0.04,1000000000,0.055039212995325215,0.002129842003341764,0.019338266996783204
0,0.13,5,0.04,0.04,1000000000,0.054257055002381094,0.0020993409998482093,0.019299755003885366
0,0.13,5,0.04,0.04,1000000000,0.05396005400689319,0.002089692003210075,0.01902914200036321
0,0.13,5,0.04,0.04,1000000000,0.05426563700893894,0.0021097630087751895,0.019697610012372024
0,0.13,5,0.04,0.04,1000000000,0.05492534399672877,0.00211455300450325,0.01941174900275655
0,0.13,5,0.04,0.04,1000000000,0.05435893600224517,0.002925182008766569,0.023512175990617834
0,0.13,5,0.04,0.04,1000000000,0.05478595299064182,0.0021351910108933225,0.019447044003754854
0,0.13,5,0.04,0.04,1000000000,0.05501914500200655,0.002191001010942273,0.019815308987745084
0,0.13,5,0.04,0.04,1000000000,0.05587929399916902,0.0021387640008470044,0.019360327991307713
0,0.13,5,0.04,0.04,1000000000,0.056959975001518615,0.0021062680025352165,0.019165755991707556
0,0.13,10,0.04,0.04,1000000000,0.2121581090032123,0.0027986770001007244,0.026247359986882657
0,0.13,10,0.04,0.04,1000000000,0.21406484600447584,0.0028175979969091713,0.019417243005591445
0,0.13,10,0.04,0.04,1000000000,0.21369331200548913,0.0027654610021272674,0.01890636800089851
0,0.13,10,0.04,0.04,1000000000,0.21420317300362512,0.0026502679975237697,0.019286573995486833
0,0.13,10,0.04,0.04,1000000000,0.21376485899963882,0.0027697320037987083,0.04271474099368788
0,0.13,10,0.04,0.04,1000000000,0.21378803600964602,0.002798820991301909,0.043029123000451364
0,0.13,10,0.04,0.04,1000000000,0.21414159701089375,0.0027377780061215162,0.027305790994432755
0,0.13,10,0.04,0.04,1000000000,0.21847842299030162,0.0027784200065070763,0.019785057011176832
0,0.13,10,0.04,0.04,1000000000,0.2186221599986311,0.0027727570122806355,0.01986319199204445
0,0.13,10,0.04,0.04,1000000000,0.2182948890113039,0.0027981549937976524,0.019501221002428792
0,0.13,10,0.04,0.04,1000000000,0.21891013099229895,0.0028172460006317124,0.01990492299955804
0,0.13,10,0.04,0.04,1000000000,0.21848864600178786,0.002767853991826996,0.020071669001481496
0,0.13,10,0.04,0.04,1000000000,0.21835489799559582,0.002788009005598724,0.01949217199580744
0,0.13,10,0.04,0.04,1000000000,0.2142525749950437,0.002725400001509115,0.026661320007406175
0,0.13,10,0.04,0.04,1000000000,0.21641645400086418,0.002800061003654264,0.019422494995524175
0,0.13,10,0.04,0.04,1000000000,0.214239388005808,0.0028837960126111284,0.03302097399136983
0,0.13,10,0.04,0.04,1000000000,0.21346630399057176,0.0029245929908938706,0.01913107599830255
0,0.13,10,0.04,0.04,1000000000,0.21416608399886172,0.0030404610006371513,0.04319129198847804
