,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,chainbreaker runtime,copkmeans runtime,kmeans runtime
0,0.13,10,0.04,0.04,[3.7949282839981606],0.17393455300771166,0.36513391899643466,0.35944113100413233
0,0.13,10,0.04,0.04,[3.524894475005567],0.1678342280065408,0.355409548006719,0.35267573699820787
0,0.13,10,0.04,0.04,[2.8777999890007777],0.1673900800087722,0.35301533600431867,0.3627774509950541
0,0.13,10,0.04,0.04,[3.6189113430009456],0.17334469201159663,0.3672529100003885,0.35871426000085194
0,0.13,10,0.04,0.04,[2.573777236000751],0.16787161599495448,0.3733662509912392,0.3576410410023527
0,0.13,10,0.04,0.04,[3.803198567999061],0.173746892993222,0.3642912920040544,0.35855210199952126
0,0.13,10,0.04,0.04,[3.5508510320069036],0.1690715779986931,0.3595617379905889,0.35637343498819973
0,0.13,10,0.04,0.04,[2.868122123996727],0.17223807900154497,0.36546268200618215,0.37143406900577247
0,0.13,10,0.04,0.04,[3.649253554001916],0.1720426160027273,0.3630537099961657,0.3547473669896135
0,0.13,10,0.04,0.04,[2.187625160004245],0.17704271199181676,0.37709112399898004,0.3508942390035372
