,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,dirilp runtime
0,0.13,25,0.01,0.04,0.18143772600160446,1000000000
0,0.13,25,0.01,0.04,0.18118352600140497,1000000000
0,0.13,25,0.01,0.04,0.18395084200892597,1000000000
0,0.13,25,0.01,0.04,0.21301173299434595,1000000000
0,0.13,25,0.01,0.04,0.19156036799540743,1000000000
0,0.13,25,0.01,0.06,0.19055906600260641,1000000000
0,0.13,25,0.01,0.06,0.18941544900008012,1000000000
0,0.13,25,0.01,0.06,0.1892720830073813,1000000000
0,0.13,25,0.01,0.06,0.21683472501172218,1000000000
0,0.13,25,0.01,0.06,0.1899024489976,1000000000
0,0.13,25,0.01,0.08,0.1955839510046644,1000000000
0,0.13,25,0.01,0.08,0.19137352699181065,1000000000
0,0.13,25,0.01,0.08,0.19261868098692503,1000000000
0,0.13,25,0.01,0.08,0.2135749690060038,1000000000
0,0.13,25,0.01,0.08,0.18584340800589416,1000000000
0,0.13,25,0.01,0.1,0.18995416200777981,1000000000
0,0.13,25,0.01,0.1,0.22647824299929198,1000000000
0,0.13,25,0.01,0.1,0.18631840500165708,1000000000
0,0.13,25,0.01,0.1,0.1857483380008489,1000000000
0,0.13,25,0.01,0.1,0.18693725399498362,1000000000
0,0.13,25,0.02,0.04,0.18066941099823453,1000000000
0,0.13,25,0.02,0.04,0.21328171600180212,1000000000
0,0.13,25,0.02,0.04,0.18206218200793955,1000000000
0,0.13,25,0.02,0.04,0.1811334030062426,1000000000
0,0.13,25,0.02,0.04,0.18082593000144698,1000000000
0,0.13,25,0.02,0.06,0.21051653299946338,1000000000
0,0.13,25,0.02,0.06,0.18572282799868844,1000000000
0,0.13,25,0.02,0.06,0.1856695390015375,1000000000
0,0.13,25,0.02,0.06,0.1802800750010647,1000000000
0,0.13,25,0.02,0.06,0.20662798699049745,1000000000
0,0.13,25,0.02,0.08,0.1829575180017855,1000000000
0,0.13,25,0.02,0.08,0.18363410199526697,1000000000
0,0.13,25,0.02,0.08,0.1826352170028258,1000000000
0,0.13,25,0.02,0.08,0.20719611299864482,1000000000
0,0.13,25,0.02,0.08,0.18145692399411928,1000000000
0,0.13,25,0.02,0.1,0.18539936999150086,1000000000
0,0.13,25,0.02,0.1,0.1860452380060451,1000000000
0,0.13,25,0.02,0.1,0.21448455599602312,1000000000
0,0.13,25,0.02,0.1,0.1884901129960781,1000000000
0,0.13,25,0.02,0.1,0.18373872499796562,1000000000
0,0.13,25,0.03,0.04,0.1833878379984526,1000000000
0,0.13,25,0.03,0.04,0.20168749800359365,1000000000
0,0.13,25,0.03,0.04,0.1781836040026974,1000000000
0,0.13,25,0.03,0.04,0.177924436997273,1000000000
0,0.13,25,0.03,0.04,0.17881414700241294,1000000000
0,0.13,25,0.03,0.06,0.18320991200744174,1000000000
0,0.13,25,0.03,0.06,0.20660141500411555,1000000000
0,0.13,25,0.03,0.06,0.18048155900032725,1000000000
0,0.13,25,0.03,0.06,0.19347634998848662,1000000000
0,0.13,25,0.03,0.06,0.18509460000495892,1000000000
0,0.13,25,0.03,0.08,0.2104314979951596,1000000000
0,0.13,25,0.03,0.08,0.1806562559941085,1000000000
0,0.13,25,0.03,0.08,0.18614316299499478,1000000000
0,0.13,25,0.03,0.08,0.1807719950011233,1000000000
0,0.13,25,0.03,0.08,0.20407812400662806,1000000000
0,0.13,25,0.03,0.1,0.1834905669966247,1000000000
0,0.13,25,0.03,0.1,0.18180477000714745,1000000000
0,0.13,25,0.03,0.1,0.18211185200198088,1000000000
0,0.13,25,0.03,0.1,0.18367537899757735,1000000000
0,0.13,25,0.03,0.1,0.2118448640103452,1000000000
0,0.13,25,0.04,0.04,0.17802732600830495,1000000000
0,0.13,25,0.04,0.04,0.17698847399151418,1000000000
0,0.13,25,0.04,0.04,0.1793861320038559,1000000000
0,0.13,25,0.04,0.04,0.20180053199874237,1000000000
0,0.13,25,0.04,0.04,0.1760800750053022,1000000000
0,0.13,25,0.04,0.06,0.1802787390042795,1000000000
0,0.13,25,0.04,0.06,0.17999089699878823,1000000000
0,0.13,25,0.04,0.06,0.2048435009928653,1000000000
0,0.13,25,0.04,0.06,0.17873224000504706,1000000000
0,0.13,25,0.04,0.06,0.17980990000069141,1000000000
0,0.13,25,0.04,0.08,0.19457286900433246,1000000000
0,0.13,25,0.04,0.08,0.1853530140069779,1000000000
0,0.13,25,0.04,0.08,0.205863444993156,1000000000
0,0.13,25,0.04,0.08,0.180616152996663,1000000000
0,0.13,25,0.04,0.08,0.1802122240042081,1000000000
0,0.13,25,0.04,0.1,0.18298403699009214,1000000000
0,0.13,25,0.04,0.1,0.20369349101383705,1000000000
0,0.13,25,0.04,0.1,0.18168289399181958,1000000000
0,0.13,25,0.04,0.1,0.1814043810009025,1000000000
0,0.13,25,0.04,0.1,0.18432675600342918,1000000000
0,0.13,25,0.06,0.04,0.2067955289967358,1000000000
0,0.13,25,0.06,0.04,0.18975890800356865,1000000000
0,0.13,25,0.06,0.04,0.18198664899682626,1000000000
0,0.13,25,0.06,0.04,0.18254828899807762,1000000000
0,0.13,25,0.06,0.04,0.1821978410007432,1000000000
0,0.13,25,0.06,0.06,0.20542198800831102,1000000000
0,0.13,25,0.06,0.06,0.1777336029917933,1000000000
0,0.13,25,0.06,0.06,0.17884293300448917,1000000000
0,0.13,25,0.06,0.06,0.1806510390015319,1000000000
0,0.13,25,0.06,0.06,0.2064107430051081,1000000000
0,0.13,25,0.06,0.08,0.17916017799871042,1000000000
0,0.13,25,0.06,0.08,0.18131200499192346,1000000000
0,0.13,25,0.06,0.08,0.19040882898843847,1000000000
0,0.13,25,0.06,0.08,0.17774674599058926,1000000000
0,0.13,25,0.06,0.08,0.20178190499427728,1000000000
0,0.13,25,0.06,0.1,0.1814593659946695,1000000000
0,0.13,25,0.06,0.1,0.1794035529892426,1000000000
0,0.13,25,0.06,0.1,0.1791340100025991,1000000000
0,0.13,25,0.06,0.1,0.20650078999460675,1000000000
0,0.13,25,0.06,0.1,0.17889220399956685,1000000000
0,0.13,25,0.08,0.04,0.1826762900018366,1000000000
0,0.13,25,0.08,0.04,0.17976542600081302,1000000000
0,0.13,25,0.08,0.04,0.1801606140070362,1000000000
0,0.13,25,0.08,0.04,0.21320897400437389,1000000000
0,0.13,25,0.08,0.04,0.17982106300769374,1000000000
0,0.13,25,0.08,0.06,0.17885739299526904,1000000000
0,0.13,25,0.08,0.06,0.20655084001191426,1000000000
0,0.13,25,0.08,0.06,0.17824173498956952,1000000000
0,0.13,25,0.08,0.06,0.1785443520057015,1000000000
0,0.13,25,0.08,0.06,0.17779229600273538,1000000000
0,0.13,25,0.08,0.08,0.17944747800356708,1000000000
0,0.13,25,0.08,0.08,0.20355495800322387,1000000000
0,0.13,25,0.08,0.08,0.17941128100210335,1000000000
0,0.13,25,0.08,0.08,0.18168999200861435,1000000000
0,0.13,25,0.08,0.08,0.18419134500436485,1000000000
0,0.13,25,0.08,0.1,0.21926763199735433,1000000000
0,0.13,25,0.08,0.1,0.18093587300973013,1000000000
0,0.13,25,0.08,0.1,0.17950692999875173,1000000000
0,0.13,25,0.08,0.1,0.1837447050056653,1000000000
0,0.13,25,0.08,0.1,0.17959272699954454,1000000000
0,0.13,25,0.1,0.04,0.21299093500419986,1000000000
0,0.13,25,0.1,0.04,0.18685269900015555,1000000000
0,0.13,25,0.1,0.04,0.1886300279875286,1000000000
0,0.13,25,0.1,0.04,0.18791014899034053,1000000000
0,0.13,25,0.1,0.04,0.21518298800219782,1000000000
0,0.13,25,0.1,0.06,0.19021985499421135,1000000000
0,0.13,25,0.1,0.06,0.18414161499822512,1000000000
0,0.13,25,0.1,0.06,0.1850388510065386,1000000000
0,0.13,25,0.1,0.06,0.18435468200186733,1000000000
0,0.13,25,0.1,0.06,0.20937291800510138,1000000000
0,0.13,25,0.1,0.08,0.18535026100289542,1000000000
0,0.13,25,0.1,0.08,0.1835214090096997,1000000000
0,0.13,25,0.1,0.08,0.18206698700669222,1000000000
0,0.13,25,0.1,0.08,0.18028512100863736,1000000000
0,0.13,25,0.1,0.08,0.20524429800570942,1000000000
0,0.13,25,0.1,0.1,0.19179643200186547,1000000000
0,0.13,25,0.1,0.1,0.1801597449957626,1000000000
0,0.13,25,0.1,0.1,0.1782096620008815,1000000000
0,0.13,25,0.1,0.1,0.1803876210033195,1000000000
0,0.13,25,0.1,0.1,0.20176069799344987,1000000000
