,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,dirilp runtime
0,0.13,10,0.04,0.04,0.08296423200226855,1000000000
0,0.13,10,0.04,0.04,0.02289804299653042,1000000000
0,0.13,10,0.04,0.04,0.02287344199430663,1000000000
0,0.13,10,0.04,0.04,0.020202348998282105,1000000000
0,0.13,10,0.04,0.04,0.017525405011838302,1000000000
0,0.13,20,0.04,0.04,0.07090517100004945,1000000000
0,0.13,20,0.04,0.04,0.052792670991038904,1000000000
0,0.13,20,0.04,0.04,0.0524019589938689,1000000000
0,0.13,20,0.04,0.04,0.08932223101146519,1000000000
0,0.13,20,0.04,0.04,0.05729478299326729,1000000000
0,0.13,30,0.04,0.04,0.17142304198932834,1000000000
0,0.13,30,0.04,0.04,0.14356646599480882,1000000000
0,0.13,30,0.04,0.04,0.1908407479932066,1000000000
0,0.13,30,0.04,0.04,0.19677657999272924,1000000000
0,0.13,30,0.04,0.04,0.20698251700378023,1000000000
0,0.13,40,0.04,0.04,0.4071465260058176,1000000000
0,0.13,40,0.04,0.04,0.3598708670033375,1000000000
0,0.13,40,0.04,0.04,0.624848072999157,1000000000
0,0.13,40,0.04,0.04,0.7056546919920947,1000000000
0,0.13,40,0.04,0.04,0.5289809820096707,1000000000
0,0.13,50,0.04,0.04,2.7150396820070455,1000000000
0,0.13,50,0.04,0.04,1.3159504409995861,1000000000
0,0.13,50,0.04,0.04,2.1427693690056913,1000000000
0,0.13,50,0.04,0.04,1.4794860660040285,1000000000
0,0.13,50,0.04,0.04,2.6267150649946416,1000000000
0,0.13,60,0.04,0.04,13.825907827005722,1000000000
0,0.13,60,0.04,0.04,12.615019720004057,1000000000
0,0.13,60,0.04,0.04,6.952646071993513,1000000000
0,0.13,60,0.04,0.04,15.729471840008046,1000000000
0,0.13,60,0.04,0.04,8.471210646006512,1000000000
0,0.13,70,0.04,0.04,147.09808326799248,1000000000
0,0.13,70,0.04,0.04,85.93658495899581,1000000000
0,0.13,70,0.04,0.04,99.52085680399614,1000000000
0,0.13,70,0.04,0.04,60.74532422199263,1000000000
0,0.13,70,0.04,0.04,51.91291231600917,1000000000
0,0.13,80,0.04,0.04,1245.883438895995,1000000000
0,0.13,80,0.04,0.04,386.6632413149928,1000000000
0,0.13,80,0.04,0.04,1052.2915580120025,1000000000
0,0.13,80,0.04,0.04,424.184923902998,1000000000
0,0.13,80,0.04,0.04,190.5876503269974,1000000000
