,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,dirilp runtime
0,0.13,10,0.04,0.04,0.25462441000013314,1000000000
0,0.13,10,0.04,0.04,0.2238675940000121,1000000000
0,0.13,10,0.04,0.04,0.22538481600008708,1000000000
0,0.13,10,0.04,0.04,0.22826215500003855,1000000000
0,0.13,10,0.04,0.04,0.23102186599999186,1000000000
0,0.13,20,0.04,0.04,1.3416102019998561,1000000000
0,0.13,20,0.04,0.04,1.265659166999967,1000000000
0,0.13,20,0.04,0.04,1.2707868110001073,1000000000
0,0.13,20,0.04,0.04,1.272104894999984,1000000000
0,0.13,20,0.04,0.04,1.2684667910000371,1000000000
0,0.13,30,0.04,0.04,4.50408584999991,1000000000
0,0.13,30,0.04,0.04,4.3906048100000135,1000000000
0,0.13,30,0.04,0.04,4.366615341999932,1000000000
0,0.13,30,0.04,0.04,4.326593664000029,1000000000
0,0.13,30,0.04,0.04,4.377560844000072,1000000000
0,0.13,40,0.04,0.04,11.17399072000012,1000000000
0,0.13,40,0.04,0.04,11.158942369999977,1000000000
0,0.13,40,0.04,0.04,11.106032573999983,1000000000
0,0.13,40,0.04,0.04,11.161358871999937,1000000000
0,0.13,40,0.04,0.04,11.124196610999888,1000000000
0,0.13,50,0.04,0.04,24.62792231000003,1000000000
0,0.13,50,0.04,0.04,24.651259741000104,1000000000
0,0.13,50,0.04,0.04,24.638743363000003,1000000000
0,0.13,50,0.04,0.04,24.69803029799982,1000000000
0,0.13,50,0.04,0.04,24.756604970000126,1000000000
0,0.13,60,0.04,0.04,47.81735804499999,1000000000
0,0.13,60,0.04,0.04,47.60709291100011,1000000000
0,0.13,60,0.04,0.04,47.61530955600006,1000000000
0,0.13,60,0.04,0.04,47.59107271800008,1000000000
0,0.13,60,0.04,0.04,48.02858289300002,1000000000
0,0.13,70,0.04,0.04,84.15535546000001,1000000000
0,0.13,70,0.04,0.04,84.29951602899996,1000000000
0,0.13,70,0.04,0.04,84.53804268399995,1000000000
0,0.13,70,0.04,0.04,84.58326454200005,1000000000
0,0.13,70,0.04,0.04,84.45479374399997,1000000000
0,0.13,80,0.04,0.04,140.35363359999974,1000000000
0,0.13,80,0.04,0.04,139.54295169100033,1000000000
0,0.13,80,0.04,0.04,140.23866146,1000000000
0,0.13,80,0.04,0.04,139.39575828700026,1000000000
0,0.13,80,0.04,0.04,140.13347564200012,1000000000
0,0.13,90,0.04,0.04,219.2689807400002,1000000000
0,0.13,90,0.04,0.04,219.15934564500003,1000000000
0,0.13,90,0.04,0.04,220.169421694,1000000000
0,0.13,90,0.04,0.04,220.00552254500008,1000000000
0,0.13,90,0.04,0.04,220.16692941699966,1000000000
0,0.13,100,0.04,0.04,329.9372009230001,1000000000
0,0.13,100,0.04,0.04,355.7249663990001,1000000000
0,0.13,100,0.04,0.04,330.4156877489995,1000000000
0,0.13,100,0.04,0.04,329.23520680599995,1000000000
0,0.13,100,0.04,0.04,331.74267076400065,1000000000
