,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,dirilp runtime
0,0.1,25,0.04,0.04,0.17931012899498455,1000000000
0,0.1,25,0.04,0.04,0.18473570799687877,1000000000
0,0.1,25,0.04,0.04,0.17814300299505703,1000000000
0,0.1,25,0.04,0.04,0.18145247299980838,1000000000
0,0.1,25,0.04,0.04,0.2103896610060474,1000000000
0,0.2,25,0.04,0.04,0.1806199479906354,1000000000
0,0.2,25,0.04,0.04,0.1774114479921991,1000000000
0,0.2,25,0.04,0.04,0.1845073769945884,1000000000
0,0.2,25,0.04,0.04,0.18327010500070173,1000000000
0,0.2,25,0.04,0.04,0.20816224500595126,1000000000
0,0.3,25,0.04,0.04,0.18282946199178696,1000000000
0,0.3,25,0.04,0.04,0.17851115699158981,1000000000
0,0.3,25,0.04,0.04,0.1767758850037353,1000000000
0,0.3,25,0.04,0.04,0.20097596799314488,1000000000
0,0.3,25,0.04,0.04,0.20727677099057473,1000000000
0,0.4,25,0.04,0.04,0.17909480900561903,1000000000
0,0.4,25,0.04,0.04,0.17703312200319488,1000000000
0,0.4,25,0.04,0.04,0.20033146400237456,1000000000
0,0.4,25,0.04,0.04,0.1749884029995883,1000000000
0,0.4,25,0.04,0.04,0.17528844099433627,1000000000
0,0.5,25,0.04,0.04,0.17606624300242402,1000000000
0,0.5,25,0.04,0.04,0.1739561629947275,1000000000
0,0.5,25,0.04,0.04,0.20119119000446517,1000000000
0,0.5,25,0.04,0.04,0.17770293400099035,1000000000
0,0.5,25,0.04,0.04,0.17562459300097544,1000000000
