,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,dirilp runtime
0,0.13,2,0.04,0.04,0.03606026399938855,0.043819084001370356
0,0.13,2,0.04,0.04,0.0336155980003241,0.04396012100005464
0,0.13,2,0.04,0.04,0.03416322100019897,0.04350789599993732
0,0.13,2,0.04,0.04,0.03386499800035381,0.04395778100115422
0,0.13,2,0.04,0.04,0.034164835000410676,0.0430346709999867
0,0.13,5,0.04,0.04,0.13087943800019275,0.21626909199949296
0,0.13,5,0.04,0.04,0.1280503209982271,0.21726732699971762
0,0.13,5,0.04,0.04,0.1285488230005285,0.21673806099897774
0,0.13,5,0.04,0.04,0.13043809200098622,0.21711135099940293
0,0.13,5,0.04,0.04,0.12774890699984098,0.21693374200003745
0,0.13,10,0.04,0.04,0.5831211509994318,1.0649572129987064
0,0.13,10,0.04,0.04,0.5744938099996943,1.0442068989996187
0,0.13,10,0.04,0.04,0.5807495569988532,1.0498856129997876
0,0.13,10,0.04,0.04,0.5754422120007803,1.0825622190004651
0,0.13,10,0.04,0.04,0.5745276899997407,1.0508667419999256
0,0.13,15,0.04,0.04,2.064184622000539,281.40191444500124
0,0.13,15,0.04,0.04,1.3596122449998802,3.0393339669990382
0,0.13,15,0.04,0.04,1.7629283379992557,96.17696267599968
0,0.13,15,0.04,0.04,1.8297943710003892,155.39422664199992
0,0.13,15,0.04,0.04,1.8299696760004736,188.535961734
0,0.13,20,0.04,0.04,3.650460351998845,87.59580291299972
0,0.13,20,0.04,0.04,3.475033651000558,59.154594996000014
0,0.13,20,0.04,0.04,3.5367601880006987,155.09492656200018
0,0.13,20,0.04,0.04,4.437794128998576,160.301769478001
0,0.13,20,0.04,0.04,3.6852359009990323,87.40822326899979
0,0.13,25,0.04,0.04,13.599901960998977,1000000000
0,0.13,25,0.04,0.04,7.741769733000183,1000000000
0,0.13,25,0.04,0.04,56.93666023200058,2485.306585536
0,0.13,25,0.04,0.04,13.493057313000463,1000000000
0,0.13,25,0.04,0.04,7.840480450999166,1000000000
0,0.13,25,0.04,0.04,36.11147917600101,1000000000
0,0.13,25,0.04,0.04,35.4293550509974,1000000000
0,0.13,25,0.04,0.04,39.8382827059977,1000000000
0,0.13,30,0.04,0.04,1824.088324960001,1000000000
0,0.13,30,0.04,0.04,46.517284114001086,1000000000
0,0.13,30,0.04,0.04,386.77635058500164,1000000000
0,0.13,30,0.04,0.04,1181.2305056530022,1000000000
0,0.13,30,0.04,0.04,290.22272430900193,1000000000
0,0.13,35,0.04,0.04,1000000000,1000000000
0,0.13,35,0.04,0.04,1000000000,1000000000
0,0.13,35,0.04,0.04,1874.1153672799992,1000000000
0,0.13,35,0.04,0.04,1000000000,1000000000
0,0.13,35,0.04,0.04,1000000000,1000000000
0,0.13,35,0.04,0.04,1000000000,1000000000
0,0.13,40,0.04,0.04,1000000000,1000000000
0,0.13,40,0.04,0.04,1000000000,1000000000
0,0.13,40,0.04,0.04,1000000000,1000000000
0,0.13,40,0.04,0.04,1000000000,1000000000
