,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,dirilp runtime
0,0.13,2,0.04,0.04,0.003176826998242177,0.03640382799494546
0,0.13,2,0.04,0.04,0.003517977995215915,0.03584362599940505
0,0.13,2,0.04,0.04,0.0032760440080892295,0.035724500005017035
0,0.13,2,0.04,0.04,0.003266626998083666,0.03681955400679726
0,0.13,2,0.04,0.04,0.003288681007688865,0.03618711700255517
0,0.13,5,0.04,0.04,0.010200573990005068,0.45196135398873594
0,0.13,5,0.04,0.04,0.010745067003881559,0.44567690600524656
0,0.13,5,0.04,0.04,0.01077880899538286,0.4668131599901244
0,0.13,5,0.04,0.04,0.010759700991911814,0.4488176070008194
0,0.13,5,0.04,0.04,0.010591298007057048,0.4440434310090495
0,0.13,10,0.04,0.04,0.032849206996615976,3.4774302750010975
0,0.13,10,0.04,0.04,0.03222397300123703,3.5063644910114817
0,0.13,10,0.04,0.04,0.03246773699356709,3.504307440001867
0,0.13,10,0.04,0.04,0.03258960699895397,3.5126961579953786
0,0.13,10,0.04,0.04,0.0324307470000349,3.4943165340082487
0,0.13,15,0.04,0.04,0.06859006200102158,13.966421472010552
0,0.13,15,0.04,0.04,0.06768199198995717,13.955517360998783
0,0.13,15,0.04,0.04,0.06780166400130838,13.918673361011315
0,0.13,15,0.04,0.04,0.07160323500283994,13.891346620992408
0,0.13,15,0.04,0.04,0.06779267000092659,14.555164454999613
0,0.13,20,0.04,0.04,0.122217238007579,38.93452223899658
0,0.13,20,0.04,0.04,0.11769612799980678,39.728851106003276
0,0.13,20,0.04,0.04,0.11708912899484858,40.33738209299918
0,0.13,20,0.04,0.04,0.12010851700324565,39.72573797000223
0,0.13,20,0.04,0.04,0.11752571001125034,38.91763324099884
0,0.13,25,0.04,0.04,0.18374872500135098,90.71073893799621
0,0.13,25,0.04,0.04,0.18251891400723252,89.90727476599568
0,0.13,25,0.04,0.04,0.1860766540048644,92.20830159800244
0,0.13,25,0.04,0.04,0.18192403299326543,93.00590963900322
0,0.13,25,0.04,0.04,0.1796116720070131,91.52367904299172
